frota	ano	trimestre	latitude	longitude	dias_pesca	captura	cpue
Santos	1995	3	23.25	41.75	8	1000	125
Santos	1996	1	23.25	41.75	4	1000	250
Santos	1999	1	23.25	41.75	5	1750	350
Santos	1998	2	23.75	41.25	9	1800	200
Ubatuba	1995	1	24.25	44.25	8	420	52.5
Ubatuba	1995	1	24.25	44.25	7	315	45
Ubatuba	1995	1	24.25	44.25	8	350	43.75
Ubatuba	1998	2	24.25	45.25	10	3500	350
Ubatuba	1998	2	24.25	45.25	7	950	135.71429
Ubatuba	1998	2	24.25	45.25	8	1000	125
Ubatuba	1998	2	24.25	45.25	7	780	111.42857
Ubatuba	1998	3	24.25	45.25	4	600	150
Ubatuba	1999	2	24.25	44.25	10	820	82
Ubatuba	1999	4	24.25	45.25	10	880	88
Santos	1999	1	24.25	44.75	5	1750	350
Santos	1998	1	24.75	44.25	12	2300	191.66667
Santos	1999	1	24.75	46.25	5	2250	450
Santos	1999	2	24.75	46.25	9	750	78.94737
Santos	1999	2	24.75	45.75	2	106	53
Santos	1999	3	24.75	45.75	4	910	227.5
Santos	1999	4	24.75	46.25	5.5	350	63.63636
Ubatuba	1996	3	25.25	46.25	8	1000	125
Ubatuba	1996	3	25.25	46.25	10	1000	100
Ubatuba	1996	3	25.25	46.25	9	650	72.22222
Ubatuba	1996	3	25.25	46.25	8	500	62.5
Ubatuba	1997	2	25.25	46.25	12	1700	141.66667
Ubatuba	1997	2	25.25	46.25	10	1000	100
Ubatuba	1997	3	25.25	46.25	12	3500	291.66667
Ubatuba	1997	3	25.25	46.25	10	2800	280
Ubatuba	1997	3	25.25	46.25	10	2500	250
Ubatuba	1997	3	25.25	46.25	10	2000	200
Ubatuba	1999	1	25.25	46.25	9	400	44.44444
Ubatuba	1999	2	25.25	46.25	10	2100	210
Ubatuba	1999	2	25.25	46.25	8	420	52.5
Ubatuba	1999	3	25.25	46.25	10	1700	170
Ubatuba	1999	3	25.25	46.25	10	1200	120
Ubatuba	1999	4	25.25	46.25	8	1000	125
Ubatuba	1999	4	25.25	46.25	10	1200	120
Santos	1995	4	25.25	45.75	15	1000	66.66667
Santos	1996	1	25.25	46.25	10	3000	300
Santos	1996	3	25.25	46.25	3.3	266.6667	80
Santos	1998	1	25.25	46.25	10	2200	220
Santos	1998	1	25.25	45.25	14	3000	214.28571
Santos	1998	1	25.25	45.25	14	2000	142.85714
Santos	1999	1	25.25	45.25	12	2700	225
